word sentid sentpos wlen surp entropy entred
where 0 0 5 10.504188537597656 1.9206409454345703 0
did 0 1 3 8.150031089782715 5.258328437805176 0
<unk> 0 2 5 4.735966205596924 5.074588298797607 0.18374013900756836
ask 0 3 3 12.419149398803711 8.136512756347656 0
who 0 4 3 9.036373138427734 4.519501686096191 3.617011070251465
<unk> 0 5 5 4.907912254333496 7.09555196762085 0
took 0 6 4 8.405900001525879 7.4862751960754395 0
? 0 7 1 8.008957862854004 6.69798469543457 0.7882905006408691
what 1 0 4 0.3978290557861328 1.9206409454345703 0
did 1 1 3 3.6814124584198 5.2410759925842285 0
she 1 2 3 7.7711944580078125 5.2281975746154785 0.01287841796875
say 1 3 3 8.955070495605469 7.672687530517578 0
that 1 4 4 3.6754496097564697 4.7139201164245605 2.9587674140930176
<unk> 1 5 5 3.2766199111938477 6.490666389465332 0
asked 1 6 5 11.091390609741211 7.433337688446045 0
who 1 7 3 8.363916397094727 4.3199615478515625 3.1133761405944824
will 1 8 4 9.831302642822266 7.098682880401611 0
read 1 9 4 8.52827262878418 2.6343092918395996 4.464373588562012
? 1 10 1 8.041421890258789 5.610568046569824 0
where 2 0 5 10.504188537597656 1.9206409454345703 0
did 2 1 3 8.150031089782715 5.258328437805176 0
<unk> 2 2 5 4.735966205596924 5.074588298797607 0.18374013900756836
ask 2 3 3 12.419149398803711 8.136512756347656 0
how 2 4 3 9.373801231384277 4.519501686096191 3.617011070251465
<unk> 2 5 5 2.4807112216949463 6.255776882171631 0
went 2 6 4 7.504825592041016 8.44483470916748 0
? 2 7 1 6.733382701873779 5.912364482879639 2.532470226287842
what 3 0 4 0.3978290557861328 1.9206409454345703 0
did 3 1 3 3.6814124584198 5.2410759925842285 0
will 3 2 4 14.39414119720459 5.2281975746154785 0.01287841796875
ask 3 3 3 13.29339599609375 4.628123760223389 0.6000738143920898
why 3 4 3 7.502485275268555 4.216170310974121 0.4119534492492676
<unk> 3 5 5 2.675281047821045 6.677009105682373 0
wears 3 6 5 11.038331985473633 7.718470573425293 0
? 3 7 1 7.713020324707031 7.465782642364502 0.252687931060791
what 4 0 4 0.3978290557861328 1.9206409454345703 0
did 4 1 3 3.6814124584198 5.2410759925842285 0
she 4 2 3 7.7711944580078125 5.2281975746154785 0.01287841796875
say 4 3 3 8.955070495605469 7.672687530517578 0
that 4 4 4 3.6754496097564697 4.7139201164245605 2.9587674140930176
