word sentid sentpos wlen surp entropy entred
what 0 0 4 1.4693481922149658 3.7944233417510986 0
did 0 1 3 1.422589659690857 4.540174961090088 0
i 0 2 1 6.680970668792725 1.64043390750885 2.899741053581238
buy 0 3 3 10.995256423950195 5.725282192230225 0
a 0 4 1 3.3107268810272217 4.6702752113342285 1.055006980895996
guitar 0 5 6 12.195182800292969 8.280634880065918 0
for 0 6 3 8.250715255737305 2.9037532806396484 5.3768815994262695
myself 0 7 6 11.663872718811035 6.501663684844971 0
because 0 8 7 9.351456642150879 3.312593936920166 3.1890697479248047
they 0 9 4 4.67337703704834 5.0853962898254395 0
heard 0 10 5 7.937680244445801 7.096251010894775 0
? 0 11 1 2.586683988571167 4.991919040679932 2.1043319702148438
what 1 0 4 1.4693481922149658 3.7944233417510986 0
will 1 1 4 8.391402244567871 4.540174961090088 0
they 1 2 4 5.524879455566406 5.46751594543457 0
fail 1 3 4 12.629524230957031 5.915003299713135 0
the 1 4 3 12.062362670898438 0.5938880443572998 5.321115255355835
test 1 5 4 10.392913818359375 8.866464614868164 0
if 1 6 2 10.319282531738281 6.1639180183410645 2.7025465965270996
they 1 7 4 4.10538387298584 5.142098903656006 1.0218191146850586
do 1 8 2 4.7353715896606445 7.1094489097595215 0
not 1 9 3 4.165966033935547 5.672183036804199 1.4372658729553223
? 1 10 1 4.724801063537598 6.524006366729736 0
whom 2 0 4 4.562267780303955 3.7944233417510986 0
will 2 1 4 8.909866333007812 3.551039457321167 0.24338388442993164
he 2 2 2 6.329829216003418 6.294905662536621 0
hire 2 3 4 13.583874702453613 4.397855758666992 1.897049903869629
someone 2 4 7 12.655860900878906 2.976400136947632 1.4214556217193604
if 2 5 2 11.712381362915039 2.610060930252075 0.36633920669555664
i 2 6 1 6.776861667633057 3.9556353092193604 0
need 2 7 4 10.135650634765625 6.746922969818115 0
? 2 8 1 4.601899147033691 1.1807200908660889 5.566202878952026
what 3 0 4 1.4693481922149658 3.7944233417510986 0
has 3 1 3 8.510560035705566 4.540174961090088 0
he 3 2 2 8.69845962524414 4.029149532318115 0.5110254287719727
been 3 3 4 3.7409980297088623 7.3672966957092285 0
