word sentid sentpos wlen surp entropy entred
where 0 0 5 9.329694747924805 0.5919991135597229 0
did 0 1 3 5.422884941101074 4.317353248596191 0
<unk> 0 2 5 9.038650512695312 1.4970725774765015 2.82028067111969
ask 0 3 3 9.599677085876465 7.7831878662109375 0
who 0 4 3 9.276505470275879 4.053092002868652 3.730095863342285
<unk> 0 5 5 6.02894401550293 6.156983852386475 0
took 0 6 4 9.47623062133789 6.4031171798706055 0
? 0 7 1 3.828179121017456 5.476662635803223 0.9264545440673828
what 1 0 4 0.06757304072380066 0.5919991135597229 0
did 1 1 3 0.6116091012954712 2.2747642993927 0
she 1 2 3 5.49751091003418 0.8545979261398315 1.4201663732528687
say 1 3 3 5.964130401611328 2.4825565814971924 0
that 1 4 4 0.12787124514579773 0.8622419834136963 1.620314598083496
<unk> 1 5 5 3.7389397621154785 4.167763710021973 0
asked 1 6 5 8.62973403930664 7.775379657745361 0
who 1 7 3 9.402799606323242 4.767694473266602 3.0076851844787598
will 1 8 4 10.069585800170898 5.7230119705200195 0
read 1 9 4 7.020280838012695 6.249553203582764 0
? 1 10 1 1.8774486780166626 4.507623672485352 1.741929531097412
where 2 0 5 9.329694747924805 0.5919991135597229 0
did 2 1 3 5.422884941101074 4.317353248596191 0
<unk> 2 2 5 9.038650512695312 1.4970725774765015 2.82028067111969
ask 2 3 3 9.599677085876465 7.7831878662109375 0
how 2 4 3 7.63955545425415 4.053092002868652 3.730095863342285
<unk> 2 5 5 6.316106796264648 3.4894847869873047 0.5636072158813477
went 2 6 4 5.7713942527771 7.338570594787598 0
? 2 7 1 1.2883018255233765 3.644725799560547 3.693844795227051
what 3 0 4 0.06757304072380066 0.5919991135597229 0
did 3 1 3 0.6116091012954712 2.2747642993927 0
will 3 2 4 18.394201278686523 0.8545979261398315 1.4201663732528687
ask 3 3 3 11.969156265258789 5.612166404724121 0
why 3 4 3 7.209644794464111 3.721133232116699 1.8910331726074219
<unk> 3 5 5 3.6979868412017822 4.245719909667969 0
wears 3 6 5 10.84890079498291 8.24393367767334 0
? 3 7 1 0.020450662821531296 0.19623275101184845 8.047700926661491
what 4 0 4 0.06757304072380066 0.5919991135597229 0
did 4 1 3 0.6116091012954712 2.2747642993927 0
she 4 2 3 5.49751091003418 0.8545979261398315 1.4201663732528687
