word sentid sentpos wlen surp entropy entred
what 0 0 4 4.488226890563965 3.88847279548645 0
did 0 1 3 5.9573469161987305 8.282120704650879 0
i 0 2 1 7.821763515472412 8.607688903808594 0
buy 0 3 3 8.401162147521973 7.637065887451172 0.9706230163574219
a 0 4 1 4.400721073150635 7.129019260406494 0.5080466270446777
guitar 0 5 6 9.06723690032959 9.499220848083496 0
for 0 6 3 6.2477030754089355 6.167052268981934 3.3321685791015625
myself 0 7 6 10.129068374633789 6.780501842498779 0
because 0 8 7 4.0624542236328125 7.135674476623535 0
they 0 9 4 2.37368106842041 6.594218730926514 0.5414557456970215
heard 0 10 5 11.230631828308105 6.835249423980713 0
? 0 11 1 3.7553999423980713 6.569072723388672 0.266176700592041
what 1 0 4 4.488226890563965 3.88847279548645 0
will 1 1 4 8.386818885803223 8.282120704650879 0
they 1 2 4 4.935356616973877 8.397244453430176 0
fail 1 3 4 14.023299217224121 7.531398296356201 0.8658461570739746
the 1 4 3 5.652994632720947 6.782736301422119 0.748661994934082
test 1 5 4 11.367854118347168 10.490436553955078 0
if 1 6 2 8.915541648864746 8.523704528808594 1.9667320251464844
they 1 7 4 3.153632402420044 7.207367897033691 1.3163366317749023
do 1 8 2 7.4314141273498535 7.1725568771362305 0.03481101989746094
not 1 9 3 5.855066776275635 7.81478214263916 0
? 1 10 1 3.5854225158691406 8.014907836914062 0
whom 2 0 4 15.071990966796875 3.88847279548645 0
will 2 1 4 7.976992607116699 7.4608235359191895 0
he 2 2 2 4.471402645111084 8.741277694702148 0
hire 2 3 4 15.684553146362305 7.39239501953125 1.3488826751708984
someone 2 4 7 7.942800521850586 7.022998332977295 0.3693966865539551
if 2 5 2 9.509803771972656 5.342203617095947 1.6807947158813477
i 2 6 1 5.580291748046875 6.761237144470215 0
need 2 7 4 11.221393585205078 7.546618938446045 0
? 2 8 1 4.144062042236328 6.843565940856934 0.7030529975891113
what 3 0 4 4.488226890563965 3.88847279548645 0
has 3 1 3 8.271967887878418 8.282120704650879 0
he 3 2 2 4.576110363006592 7.131324768066406 1.1507959365844727
been 3 3 4 6.398573875427246 6.641471862792969 0.4898529052734375
