word sentid sentpos wlen surp entropy entred
who 0 0 3 12.172582626342773 0.34548428654670715 0
do 0 1 2 9.464883804321289 7.840384483337402 0
n't 0 2 3 25.800512313842773 4.970219612121582 2.8701648712158203
we 0 3 2 8.765368461608887 7.4994893074035645 0
believe 0 4 7 8.943239212036133 7.509528160095215 0
the 0 5 3 9.058547973632812 3.954972267150879 3.554555892944336
rumour 0 6 6 11.88515567779541 8.26852798461914 0
that 0 7 4 3.8426482677459717 4.178842067718506 4.089685916900635
<unk> 0 8 5 0.9387213587760925 4.417013645172119 0
is 0 9 2 6.323262691497803 5.045586109161377 0
dating 0 10 6 13.201882362365723 6.531745433807373 0
? 0 11 1 4.013791084289551 3.0872089862823486 3.4445364475250244
how 1 0 3 10.760334968566895 0.34548428654670715 0
does 1 1 4 5.799746990203857 4.048880577087402 0
will 1 2 4 9.281078338623047 2.921234130859375 1.1276464462280273
think 1 3 5 9.948470115661621 7.474882125854492 0
that 1 4 4 2.187871217727661 4.750347137451172 2.7245349884033203
she 1 5 3 5.921643257141113 5.105855464935303 0
is 1 6 2 6.317349910736084 6.085485935211182 0
dating 1 7 6 12.34111213684082 7.020476818084717 0
someone 1 8 7 11.529173851013184 4.401925563812256 2.618551254272461
who 1 9 3 4.234663963317871 4.9260454177856445 0
solves 1 10 6 17.58226776123047 6.7392377853393555 0
? 1 11 1 4.562248706817627 4.555245399475098 2.183992385864258
what 2 0 4 0.03764430433511734 0.34548428654670715 0
does 2 1 4 7.728973388671875 0.6895758509635925 0
she 2 2 3 5.723001480102539 2.6187801361083984 0
believe 2 3 7 7.644830226898193 5.162537097930908 0
the 2 4 3 9.273839950561523 3.225184440612793 1.9373526573181152
rumour 2 5 6 10.979022026062012 8.385533332824707 0
that 2 6 4 5.4012322425842285 2.3754611015319824 6.010072231292725
she 2 7 3 6.112674713134766 4.13007116317749 0
might 2 8 5 8.784318923950195 3.539095878601074 0.590975284576416
have 2 9 4 5.995401859283447 7.2048115730285645 0
this 2 10 4 8.710502624511719 7.097879409790039 0.10693216323852539
year 2 11 4 11.517439842224121 6.553779125213623 0.544100284576416
? 2 12 1 4.595975875854492 3.425114154815674 3.128664970397949
how 3 0 3 10.760334968566895 0.34548428654670715 0
many 3 1 4 7.4370036125183105 4.048880577087402 0
cities 3 2 6 12.245596885681152 5.116133689880371 0
does 3 3 4 11.4158296585083 5.135655879974365 0
he 3 4 2 6.606661796569824 5.142523288726807 0
know 3 5 4 6.8078508377075195 5.637360095977783 0
brothers 3 6 8 16.9393367767334 3.803101062774658 1.834259033203125
who 3 7 3 9.62409496307373 1.8903312683105469 1.9127697944641113
live 3 8 4 10.031709671020508 4.9253644943237305 0
in 3 9 2 5.461210250854492 1.7101151943206787 3.2152493000030518
? 3 10 1 6.69902229309082 2.619708299636841 0
who 4 0 3 12.172582626342773 0.34548428654670715 0
do 4 1 2 9.464883804321289 7.840384483337402 0
they 4 2 4 5.38087272644043 4.970219612121582 2.8701648712158203
believe 4 3 7 5.929354190826416 7.010119438171387 0
the 4 4 3 8.849259376525879 3.5999972820281982 3.4101221561431885
claim 4 5 5 11.982966423034668 8.496402740478516 0
that 4 6 4 2.7055721282958984 5.318565368652344 3.177837371826172
he 4 7 2 4.799947261810303 4.4881157875061035 0.8304495811462402
likes 4 8 5 11.972565650939941 5.998816967010498 0
? 4 9 1 5.556084632873535 4.56608247756958 1.432734489440918
what 5 0 4 0.03764430433511734 0.34548428654670715 0
did 5 1 3 0.09399180114269257 0.6895758509635925 0
she 5 2 3 6.0809173583984375 2.73679518699646 0
hear 5 3 4 4.453714370727539 4.636692523956299 0
a 5 4 1 7.522076606750488 4.2434844970703125 0.39320802688598633
rumour 5 5 6 7.220407962799072 8.880502700805664 0
that 5 6 4 4.404933929443359 1.671843409538269 7.208659291267395
<unk> 5 7 5 0.9176682829856873 4.2988128662109375 0
sleeps 5 8 6 14.576886177062988 4.880791187286377 0
with 5 9 4 7.736494541168213 1.5949082374572754 3.2858829498291016
? 5 10 1 8.113971710205078 2.196585178375244 0
how 6 0 3 10.760334968566895 0.34548428654670715 0
did 6 1 3 1.3774480819702148 4.048880577087402 0
my 6 2 2 8.84906005859375 3.081355333328247 0.9675252437591553
sister 6 3 6 5.476603984832764 8.211288452148438 0
say 6 4 3 6.143974781036377 6.3338141441345215 1.877474308013916
that 6 5 4 0.6210982203483582 2.8906638622283936 3.443150281906128
<unk> 6 6 5 1.0803033113479614 4.797313213348389 0
<unk> 6 7 5 3.1360857486724854 5.6728901863098145 0
thinks 6 8 6 12.861124038696289 4.232420444488525 1.440469741821289
that 6 9 4 2.1716244220733643 4.495192527770996 0
<unk> 6 10 5 1.0810829401016235 4.478068828582764 0.017123699188232422
solves 6 11 6 19.192174911499023 4.213504314422607 0.26456451416015625
? 6 12 1 4.987330436706543 3.530716896057129 0.6827874183654785
what 7 0 4 0.03764430433511734 0.34548428654670715 0
does 7 1 4 7.728973388671875 0.6895758509635925 0
she 7 2 3 5.723001480102539 2.6187801361083984 0
like 7 3 4 7.119852542877197 5.162537097930908 0
the 7 4 3 7.462233066558838 5.079311847686768 0.08322525024414062
possibility 7 5 11 14.146905899047852 8.301778793334961 0
that 7 6 4 3.3244287967681885 2.74069881439209 5.561079978942871
<unk> 7 7 5 1.0164172649383545 4.009117603302002 0
dances 7 8 6 16.62895393371582 4.037073135375977 0
? 7 9 1 7.333827972412109 1.6591131687164307 2.377959966659546
what 8 0 4 0.03764430433511734 0.34548428654670715 0
do 8 1 2 9.32620620727539 0.6895758509635925 0
they 8 2 4 8.872632026672363 2.4983503818511963 0
not 8 3 3 6.152677059173584 7.055714130401611 0
believe 8 4 7 10.006251335144043 8.22542953491211 0
the 8 5 3 8.705534934997559 4.50100564956665 3.724423885345459
rumour 8 6 6 11.202495574951172 8.859285354614258 0
that 8 7 4 4.036050319671631 4.699454307556152 4.1598310470581055
he 8 8 2 6.76970911026001 4.428279399871826 0.27117490768432617
will 8 9 4 5.8375701904296875 6.20371675491333 0
buy 8 10 3 7.115009784698486 7.820492267608643 0
? 8 11 1 5.010951995849609 3.596672773361206 4.2238194942474365
where 9 0 5 10.468523979187012 0.34548428654670715 0
do 9 1 2 11.51371955871582 5.026774883270264 0
they 9 2 4 6.033204555511475 3.2871665954589844 1.7396082878112793
have 9 3 4 6.308926105499268 7.349104881286621 0
a 9 4 1 5.149552822113037 6.938668727874756 0.41043615341186523
window 9 5 6 9.865911483764648 8.606525421142578 0
that 9 6 4 6.162613868713379 3.6220016479492188 4.984523773193359
opens 9 7 5 14.816519737243652 6.170929431915283 0
? 9 8 1 4.863000869750977 4.019908428192139 2.1510210037231445
what 10 0 4 0.03764430433511734 0.34548428654670715 0
did 10 1 3 0.09399180114269257 0.6895758509635925 0
<unk> 10 2 5 0.47357693314552307 2.73679518699646 0
meet 10 3 4 10.079421997070312 5.024601459503174 0
someone 10 4 7 12.120121002197266 3.419637441635132 1.604964017868042
who 10 5 3 6.0320281982421875 4.247175216674805 0
likes 10 6 5 11.998315811157227 4.974180698394775 0
? 10 7 1 7.283936977386475 3.2127161026000977 1.7614645957946777
what 11 0 4 0.03764430433511734 0.34548428654670715 0
does 11 1 4 7.728973388671875 0.6895758509635925 0
<unk> 11 2 5 0.4625585675239563 2.6187801361083984 0
believe 11 3 7 8.813828468322754 5.337264537811279 0
the 11 4 3 9.162099838256836 3.2929930686950684 2.044271469116211
claim 11 5 5 11.447147369384766 8.04047679901123 0
that 11 6 4 4.787640571594238 2.268646478652954 5.771830320358276
he 11 7 2 6.452122211456299 4.078613758087158 0
robbed 11 8 6 18.18193817138672 3.3610007762908936 0.7176129817962646
yesterday 11 9 9 19.080171585083008 2.6068358421325684 0.7541649341583252
? 11 10 1 5.729776382446289 0.5572561621665955 2.049579679965973
who 12 0 3 12.172582626342773 0.34548428654670715 0
does 12 1 4 8.335819244384766 7.840384483337402 0
n't 12 2 3 25.63088035583496 4.875707626342773 2.964676856994629
<unk> 12 3 5 1.938836932182312 5.854024410247803 0
believe 12 4 7 12.502861022949219 3.7197251319885254 2.1342992782592773
the 12 5 3 8.820272445678711 4.260021686553955 0
rumour 12 6 6 11.64124584197998 8.48231029510498 0
that 12 7 4 4.765375137329102 2.810737133026123 5.671573162078857
<unk> 12 8 5 0.8862013220787048 4.239387035369873 0
is 12 9 2 6.318619251251221 4.998456954956055 0
dating 12 10 6 12.726508140563965 6.68233585357666 0
? 12 11 1 4.4394097328186035 3.0111210346221924 3.6712148189544678
what 13 0 4 0.03764430433511734 0.34548428654670715 0
did 13 1 3 0.09399180114269257 0.6895758509635925 0
he 13 2 2 7.915109157562256 2.73679518699646 0
hear 13 3 4 4.550264358520508 5.022409439086914 0
that 13 4 4 2.0115773677825928 4.09937858581543 0.9230308532714844
he 13 5 2 6.105997085571289 4.872015476226807 0
believes 13 6 8 13.156416893005371 4.863831520080566 0.008183956146240234
that 13 7 4 1.7713391780853271 3.704190969467163 1.1596405506134033
he 13 8 2 4.113225936889648 4.594245433807373 0
will 13 9 4 5.744499206542969 4.131682872772217 0.46256256103515625
buy 13 10 3 5.5023956298828125 7.405444145202637 0
? 13 11 1 6.655087471008301 2.0200858116149902 5.3853583335876465
what 14 0 4 0.03764430433511734 0.34548428654670715 0
