word sentid sentpos wlen surp entropy entred
what 0 0 4 0.08042964339256287 0.6060084104537964 0
did 0 1 3 0.07226233184337616 0.600983202457428 0.005025207996368408
i 0 2 1 9.047806739807129 2.6722896099090576 0
buy 0 3 3 6.91896390914917 5.297774314880371 0
a 0 4 1 8.018491744995117 5.245174884796143 0.052599430084228516
guitar 0 5 6 12.110265731811523 8.469011306762695 0
for 0 6 3 5.983148574829102 4.59580659866333 3.8732047080993652
myself 0 7 6 11.718605995178223 3.221318244934082 1.374488353729248
because 0 8 7 13.866722106933594 3.1349987983703613 0.0863194465637207
they 0 9 4 4.745150089263916 4.3620171546936035 0
heard 0 10 5 8.721251487731934 7.4203901290893555 0
? 0 11 1 4.486682891845703 3.8342103958129883 3.586179733276367
what 1 0 4 0.08042964339256287 0.6060084104537964 0
will 1 1 4 10.9041166305542 0.600983202457428 0.005025207996368408
they 1 2 4 6.483282089233398 6.012805938720703 0
fail 1 3 4 12.232869148254395 6.6185503005981445 0
the 1 4 3 8.293127059936523 4.446159839630127 2.1723904609680176
test 1 5 4 11.71092700958252 8.054923057556152 0
if 1 6 2 10.628946304321289 5.947914123535156 2.107008934020996
they 1 7 4 4.6683878898620605 4.574798583984375 1.3731155395507812
do 1 8 2 7.3905029296875 7.930845260620117 0
not 1 9 3 4.55495023727417 6.858309745788574 1.072535514831543
? 1 10 1 2.8246660232543945 7.320429801940918 0
whom 2 0 4 9.37077522277832 0.6060084104537964 0
will 2 1 4 9.578765869140625 3.9479010105133057 0
he 2 2 2 5.7872443199157715 6.226103782653809 0
hire 2 3 4 11.220541954040527 6.904177665710449 0
someone 2 4 7 9.029897689819336 3.9935407638549805 2.9106369018554688
if 2 5 2 10.290078163146973 5.886159420013428 0
i 2 6 1 8.196861267089844 3.7853305339813232 2.1008288860321045
need 2 7 4 9.299436569213867 6.877497673034668 0
? 2 8 1 4.655487060546875 5.264101982116699 1.6133956909179688
what 3 0 4 0.08042964339256287 0.6060084104537964 0
has 3 1 3 9.03430461883545 0.600983202457428 0.005025207996368408
he 3 2 2 7.340200901031494 4.957827091217041 0
been 3 3 4 2.8230135440826416 6.773947238922119 0
circulating 3 4 11 15.732880592346191 8.757152557373047 0
who 3 5 3 10.460541725158691 6.372783184051514 2.384369373321533
he 3 6 2 7.395549774169922 7.670642375946045 0
thought 3 7 7 7.476817607879639 7.272116661071777 0.3985257148742676
was 3 8 3 5.3218793869018555 4.680791854858398 2.591324806213379
? 3 9 1 10.589399337768555 7.672706127166748 0
what 4 0 4 0.08042964339256287 0.6060084104537964 0
will 4 1 4 10.9041166305542 0.600983202457428 0.005025207996368408
he 4 2 2 7.971512794494629 6.012805938720703 0
try 4 3 3 8.640393257141113 6.672991752624512 0
to 4 4 2 2.7311627864837646 5.196605205535889 1.476386547088623
call 4 5 4 4.369080066680908 7.814537525177002 0
you 4 6 3 7.650821685791016 3.3585968017578125 4.4559407234191895
if 4 7 2 8.59710693359375 4.067831516265869 0
she 4 8 3 6.220618724822998 4.351221561431885 0
buys 4 9 4 15.361701011657715 6.287587642669678 0
? 4 10 1 1.493409276008606 4.38841438293457 1.8991732597351074
what 5 0 4 0.08042964339256287 0.6060084104537964 0
did 5 1 3 0.07226233184337616 0.600983202457428 0.005025207996368408
she 5 2 3 8.276232719421387 2.6722896099090576 0
say 5 3 3 2.3421599864959717 6.324376583099365 0
she 5 4 3 7.954733371734619 1.183811902999878 5.140564680099487
would 5 5 5 7.10883903503418 6.551140308380127 0
like 5 6 4 6.248480319976807 7.491902828216553 0
the 5 7 3 7.446722030639648 3.945343494415283 3.5465593338012695
man 5 8 3 9.155238151550293 7.355412006378174 0
if 5 9 2 11.184690475463867 5.487233638763428 1.868178367614746
he 5 10 2 5.292267322540283 3.428131103515625 2.0591025352478027
read 5 11 4 9.436287879943848 5.107369422912598 0
? 5 12 1 0.6518181562423706 2.925919771194458 2.1814496517181396
where 6 0 5 10.26220989227295 0.6060084104537964 0
did 6 1 3 4.42164421081543 4.382707595825195 0
i 6 2 1 7.678131580352783 4.018779277801514 0.36392831802368164
buy 6 3 3 7.941739082336426 5.119364261627197 0
a 6 4 1 6.083447456359863 5.279511451721191 0
coffee 6 5 6 9.742731094360352 8.498096466064453 0
for 6 6 3 9.419321060180664 4.83122444152832 3.666872024536133
myself 6 7 6 13.083954811096191 2.794630289077759 2.0365941524505615
because 6 8 7 15.028992652893066 2.291853427886963 0.5027768611907959
i 6 9 1 5.84974479675293 4.222605228424072 0
went 6 10 4 8.19577407836914 6.805581092834473 0
? 6 11 1 4.0729475021362305 5.720294952392578 1.0852861404418945
what 7 0 4 0.08042964339256287 0.6060084104537964 0
will 7 1 4 10.9041166305542 0.600983202457428 0.005025207996368408
he 7 2 2 7.971512794494629 6.012805938720703 0
circulate 7 3 9 17.77290916442871 6.672991752624512 0
a 7 4 1 7.856975078582764 5.097357273101807 1.575634479522705
call 7 5 4 8.011909484863281 8.751469612121582 0
if 7 6 2 11.623665809631348 4.623293399810791 4.128176212310791
she 7 7 3 5.976865768432617 3.885679006576538 0.7376143932342529
buys 7 8 4 14.909811973571777 7.0416340827941895 0
? 7 9 1 2.685685157775879 5.317861080169678 1.7237730026245117
whom 8 0 4 9.37077522277832 0.6060084104537964 0
did 8 1 3 2.3899128437042236 3.9479010105133057 0
she 8 2 3 5.162106037139893 3.996457099914551 0
say 8 3 3 1.3141337633132935 5.516016960144043 0
that 8 4 4 0.21454071998596191 1.0200775861740112 4.495939373970032
she 8 5 3 6.468694686889648 3.079935312271118 0
gave 8 6 4 7.629927635192871 6.954683780670166 0
a 8 7 1 6.776698589324951 5.346066951751709 1.608616828918457
guitar 8 8 6 13.603926658630371 8.670267105102539 0
to 8 9 2 6.284121036529541 3.9087188243865967 4.761548280715942
me 8 10 2 3.28448748588562 5.268782615661621 0
when 8 11 4 11.638130187988281 2.947899580001831 2.32088303565979
i 8 12 1 5.294622898101807 4.9057297706604 0
hired 8 13 5 13.929969787597656 7.363952159881592 0
? 8 14 1 7.053538799285889 3.5925405025482178 3.771411657333374
what 9 0 4 0.08042964339256287 0.6060084104537964 0
did 9 1 3 0.07226233184337616 0.600983202457428 0.005025207996368408
he 9 2 2 8.556999206542969 2.6722896099090576 0
get 9 3 3 9.571325302124023 6.59787654876709 0
a 9 4 1 6.480496883392334 6.861644744873047 0
new 9 5 3 7.616328239440918 8.907715797424316 0
phone 9 6 5 10.360631942749023 7.926590442657471 0.9811253547668457
for 9 7 3 7.404472351074219 4.3062520027160645 3.6203384399414062
<unk> 9 8 5 2.1874241828918457 3.319169521331787 0.9870824813842773
because 9 9 7 13.946085929870605 3.20341157913208 0.11575794219970703
she 9 10 3 5.410036087036133 4.037909984588623 0
saw 9 11 3 8.220795631408691 6.653746604919434 0
? 9 12 1 5.871901035308838 4.717991352081299 1.9357552528381348
what 10 0 4 0.08042964339256287 0.6060084104537964 0
did 10 1 3 0.07226233184337616 0.600983202457428 0.005025207996368408
you 10 2 3 5.1572957038879395 2.6722896099090576 0
need 10 3 4 9.8888521194458 5.184234142303467 0
to 10 4 2 3.823606252670288 5.385471820831299 0
do 10 5 2 5.795077800750732 6.855186462402344 0
that 10 6 4 4.197479724884033 5.719695091247559 1.1354913711547852
if 10 7 2 7.289910316467285 5.494489669799805 0.2252054214477539
you 10 8 3 3.6114609241485596 3.9885714054107666 1.505918264389038
were 10 9 4 6.702346324920654 3.6687703132629395 0.31980109214782715
to 10 10 2 6.8353471755981445 5.6287031173706055 0
go 10 11 2 6.537822246551514 6.761792182922363 0
and 10 12 3 4.122286796569824 2.8294529914855957 3.9323391914367676
buy 10 13 3 10.990217208862305 1.5770190954208374 1.2524338960647583
? 10 14 1 0.8576065897941589 4.036032199859619 0
what 11 0 4 0.08042964339256287 0.6060084104537964 0
did 11 1 3 0.07226233184337616 0.600983202457428 0.005025207996368408
she 11 2 3 8.276232719421387 2.6722896099090576 0
eat 11 3 3 7.8741350173950195 6.324376583099365 0
the 11 4 3 9.909136772155762 6.035200119018555 0.28917646408081055
<unk> 11 5 5 2.4194653034210205 8.45093059539795 0
because 11 6 7 16.209075927734375 3.6426281929016113 4.808302402496338
they 11 7 4 4.426416397094727 3.9898037910461426 0
<unk> 11 8 5 4.994140625 6.321685314178467 0
? 11 9 1 1.0061657428741455 3.293161153793335 3.028524160385132
where 12 0 5 10.26220989227295 0.6060084104537964 0
did 12 1 3 4.42164421081543 4.382707595825195 0
she 12 2 3 5.808315753936768 4.018779277801514 0.36392831802368164
say 12 3 3 1.8410909175872803 6.221166133880615 0
that 12 4 4 0.16055606305599213 0.8266064524650574 5.394559681415558
he 12 5 2 5.6477952003479 2.4195680618286133 0
will 12 6 4 6.432137489318848 6.766146183013916 0
hear 12 7 4 5.1419525146484375 7.996734619140625 0
a 12 8 1 7.5561041831970215 3.7926037311553955 4.2041308879852295
rumour 12 9 6 9.128923416137695 8.572563171386719 0
if 12 10 2 11.47052001953125 2.8822879791259766 5.690275192260742
she 12 11 3 4.77529239654541 3.0940399169921875 0
is 12 12 2 5.445074081420898 6.603841304779053 0
? 12 13 1 4.177788734436035 7.342774391174316 0
what 13 0 4 0.08042964339256287 0.6060084104537964 0
does 13 1 4 8.111149787902832 0.600983202457428 0.005025207996368408
he 13 2 2 9.06432056427002 2.161071538925171 0
speak 13 3 5 10.410662651062012 6.570115566253662 0
a 13 4 1 9.83212947845459 3.6961042881011963 2.874011278152466
<unk> 13 5 5 1.8384758234024048 7.522152900695801 0
language 13 6 8 9.460339546203613 5.11002254486084 2.412130355834961
because 13 7 7 13.306371688842773 4.841912269592285 0.2681102752685547
you 13 8 3 6.971092700958252 3.7854812145233154 1.0564310550689697
were 13 9 4 6.096394062042236 6.55739164352417 0
? 13 10 1 4.120754718780518 8.194469451904297 0
who 14 0 3 11.181111335754395 0.6060084104537964 0
did 14 1 3 2.9285995960235596 7.418652057647705 0
she 14 2 3 6.500402927398682 5.593705654144287 1.824946403503418
say 14 3 3 2.4011526107788086 6.467878818511963 0
that 14 4 4 0.19742263853549957 0.9614908695220947 5.506387948989868
she 14 5 3 6.65329122543335 2.900975465774536 0
wears 14 6 5 11.47806453704834 6.709171295166016 0
extravagant 14 7 11 19.05089569091797 6.057214736938477 0.6519565582275391
rings 14 8 5 12.424842834472656 8.266465187072754 0
when 14 9 4 12.67590045928955 2.6758570671081543 5.5906081199646
she 14 10 3 3.0334653854370117 6.015501022338867 0
is 14 11 2 4.781585216522217 7.968344211578369 0
waiting 14 12 7 8.640663146972656 7.7213287353515625 0.24701547622680664
for 14 13 3 0.6028411984443665 1.8884445428848267 5.832884192466736
? 14 14 1 3.5934860706329346 2.8843159675598145 0
what 15 0 4 0.08042964339256287 0.6060084104537964 0
does 15 1 4 8.111149787902832 0.600983202457428 0.005025207996368408
<unk> 15 2 5 0.2952173948287964 2.161071538925171 0
eat 15 3 3 6.227607250213623 6.997048854827881 0
a 15 4 1 10.260007858276367 6.2609100341796875 0.7361388206481934
yellow 15 5 6 14.297669410705566 8.208353996276855 0
candy 15 6 5 13.723264694213867 5.80668306350708 2.4016709327697754
whenever 15 7 8 22.093955993652344 1.2309684753417969 4.575714588165283
<unk> 15 8 5 1.7470135688781738 5.528898239135742 0
watches 15 9 7 14.85734748840332 3.065216064453125 2.463682174682617
? 15 10 1 0.5033402442932129 1.9818387031555176 1.0833773612976074
whom 16 0 4 9.37077522277832 0.6060084104537964 0
did 16 1 3 2.3899128437042236 3.9479010105133057 0
the 16 2 3 6.326337814331055 3.996457099914551 0
pregnant 16 3 8 14.156759262084961 7.199747562408447 0
teddy 16 4 5 15.958549499511719 4.011209964752197 3.18853759765625
bear 16 5 4 3.8052620887756348 5.312202453613281 0
assert 16 6 6 22.11759376525879 5.9007110595703125 0
that 16 7 4 1.0057852268218994 3.839797258377075 2.0609138011932373
<unk> 16 8 5 0.33080244064331055 2.2124462127685547 1.6273510456085205
<unk> 16 9 5 2.4267776012420654 6.349606513977051 0
came 16 10 4 9.471955299377441 5.899864673614502 0.44974184036254883
because 16 11 7 11.970598220825195 5.2544145584106445 0.6454501152038574
<unk> 16 12 5 1.2942097187042236 3.553720235824585 1.7006943225860596
hired 16 13 5 13.265613555908203 6.249788284301758 0
? 16 14 1 9.571797370910645 3.9940483570098877 2.25573992729187
what 17 0 4 0.08042964339256287 0.6060084104537964 0
did 17 1 3 0.07226233184337616 0.600983202457428 0.005025207996368408
<unk> 17 2 5 0.38274630904197693 2.6722896099090576 0
solve 17 3 5 12.988041877746582 5.501338958740234 0
problems 17 4 8 9.156259536743164 4.96151876449585 0.5398201942443848
by 17 5 2 11.443193435668945 5.08485221862793 0
<unk> 17 6 5 0.5223110318183899 3.8197686672210693 1.2650835514068604
analysis 17 7 8 17.97542381286621 4.480764389038086 0
because 17 8 7 14.028446197509766 4.513640880584717 0
will 17 9 4 14.326226234436035 3.9997076988220215 0.5139331817626953
loaned 17 10 6 22.11834716796875 6.720871448516846 0
him 17 11 3 2.9359357357025146 5.8111162185668945 0.9097552299499512
? 17 12 1 4.857952117919922 6.510509967803955 0
what 18 0 4 0.08042964339256287 0.6060084104537964 0
did 18 1 3 0.07226233184337616 0.600983202457428 0.005025207996368408
<unk> 18 2 5 0.38274630904197693 2.6722896099090576 0
dance 18 3 5 11.378262519836426 5.501338958740234 0
a 18 4 1 11.128517150878906 4.874146461486816 0.627192497253418
ballet 18 5 6 11.849892616271973 8.226631164550781 0
when 18 6 4 12.366061210632324 5.154778003692627 3.0718531608581543
the 18 7 3 6.228516578674316 4.354283809661865 0.8004941940307617
pretty 18 8 6 16.463106155395508 8.509264945983887 0
agent 18 9 5 17.531009674072266 5.96819543838501 2.541069507598877
stole 18 10 5 9.345947265625 5.7104315757751465 0.2577638626098633
? 18 11 1 2.2192492485046387 4.803820610046387 0.9066109657287598
what 19 0 4 0.08042964339256287 0.6060084104537964 0
will 19 1 4 10.9041166305542 0.600983202457428 0.005025207996368408
i 19 2 1 8.259586334228516 6.012805938720703 0
eat 19 3 3 8.142778396606445 6.170767784118652 0
scandalous 19 4 10 21.320343017578125 5.795126438140869 0.3756413459777832
<unk> 19 5 5 4.591370582580566 3.879890203475952 1.915236234664917
if 19 6 2 13.88251781463623 1.9820550680160522 1.8978351354599
the 19 7 3 6.608847618103027 4.350860595703125 0
