word sentid sentpos wlen surp entropy entred
how 0 0 3 0.09005069732666016 0.72203129529953 0
<unk> 0 1 5 12.336234092712402 1.2937595844268799 0
did 0 2 3 7.219211101531982 8.577472686767578 0
she 0 3 3 8.978582382202148 5.98138952255249 2.596083164215088
say 0 4 3 7.714366912841797 1.6391609907150269 4.342228531837463
that 0 5 4 0.005048992577940226 0.0512847937643528 1.587876196950674
he 0 6 2 0.47221460938453674 2.219879150390625 0
directed 0 7 8 13.364436149597168 3.9552628993988037 0
the 0 8 3 2.6247658729553223 2.666780948638916 1.2884819507598877
movie 0 9 5 9.3532075881958 8.877874374389648 0
that 0 10 4 6.384571075439453 8.071660041809082 0.8062143325805664
i 0 11 1 9.265740394592285 5.5689802169799805 2.5026798248291016
saw 0 12 3 5.795591831207275 4.761125564575195 0.8078546524047852
yesterday 0 13 9 10.46444034576416 4.501215934753418 0.25990962982177734
? 0 14 1 7.208155632019043 7.182799816131592 0
how 1 0 3 0.09005069732666016 0.72203129529953 0
discreet 1 1 8 28.077617645263672 1.2937595844268799 0
did 1 2 3 9.451830863952637 7.1399641036987305 0
<unk> 1 3 5 1.1293220520019531 4.645870208740234 2.494093894958496
hire 1 4 4 12.619091987609863 5.456855297088623 0
an 1 5 2 6.767361164093018 6.592540264129639 0
agent 1 6 5 8.508380889892578 9.078478813171387 0
? 1 7 1 10.114349365234375 7.399744033813477 1.6787347793579102
how 2 0 3 0.09005069732666016 0.72203129529953 0
pretty 2 1 6 23.177499771118164 1.2937595844268799 0
does 2 2 4 6.235538005828857 7.014346122741699 0
<unk> 2 3 5 1.1919742822647095 4.673387050628662 2.340959072113037
like 2 4 4 12.267361640930176 3.4293782711029053 1.2440087795257568
the 2 5 3 3.7475247383117676 6.118326187133789 0
woman 2 6 5 11.282962799072266 10.207296371459961 0
? 2 7 1 6.792117595672607 8.080452919006348 2.1268434524536133
how 3 0 3 0.09005069732666016 0.72203129529953 0
difficult 3 1 9 19.63460350036621 1.2937595844268799 0
did 3 2 3 8.97314453125 6.530031204223633 0
he 3 3 2 3.5824780464172363 5.5835418701171875 0.9464893341064453
