word sentid sentpos wlen surp entropy entred
where 0 0 5 10.369823455810547 7.742798805236816 0
did 0 1 3 8.561909675598145 7.378345966339111 0.3644528388977051
<unk> 0 2 5 6.235851287841797 4.8009185791015625 2.577427387237549
ask 0 3 3 14.133923530578613 7.075586795806885 0
who 0 4 3 7.418800354003906 6.570950984954834 0.5046358108520508
<unk> 0 5 5 5.2046427726745605 6.902065753936768 0
took 0 6 4 11.127616882324219 6.418599605560303 0.48346614837646484
? 0 7 1 6.280801773071289 6.717606544494629 0
what 1 0 4 6.0709757804870605 7.742798805236816 0
did 1 1 3 8.338109970092773 4.518370151519775 3.224428653717041
she 1 2 3 7.942416667938232 5.402209758758545 0
say 1 3 3 7.990149021148682 8.270098686218262 0
that 1 4 4 3.180145025253296 6.188442707061768 2.081655979156494
<unk> 1 5 5 4.461688995361328 7.604183197021484 0
asked 1 6 5 11.858231544494629 6.553035736083984 1.0511474609375
who 1 7 3 6.691858768463135 6.530467987060547 0.0225677490234375
will 1 8 4 9.831075668334961 6.676935195922852 0
read 1 9 4 9.406538963317871 7.4213972091674805 0
? 1 10 1 3.0267796516418457 5.9397687911987305 1.48162841796875
where 2 0 5 10.369823455810547 7.742798805236816 0
did 2 1 3 8.561909675598145 7.378345966339111 0.3644528388977051
<unk> 2 2 5 6.235851287841797 4.8009185791015625 2.577427387237549
ask 2 3 3 14.133923530578613 7.075586795806885 0
how 2 4 3 8.991479873657227 6.570950984954834 0.5046358108520508
<unk> 2 5 5 4.936954021453857 5.843197345733643 0.7277536392211914
went 2 6 4 9.15645980834961 6.763389587402344 0
? 2 7 1 3.9180946350097656 7.125798225402832 0
what 3 0 4 6.0709757804870605 7.742798805236816 0
did 3 1 3 8.338109970092773 4.518370151519775 3.224428653717041
will 3 2 4 12.370523452758789 5.402209758758545 0
ask 3 3 3 11.69201946258545 7.268457412719727 0
why 3 4 3 8.98586654663086 6.280477046966553 0.9879803657531738
<unk> 3 5 5 4.836254596710205 5.9481377601623535 0.3323392868041992
wears 3 6 5 15.975055694580078 6.105191230773926 0
? 3 7 1 2.0849006175994873 6.486504554748535 0
what 4 0 4 6.0709757804870605 7.742798805236816 0
did 4 1 3 8.338109970092773 4.518370151519775 3.224428653717041
she 4 2 3 7.942416667938232 5.402209758758545 0
say 4 3 3 7.990149021148682 8.270098686218262 0
that 4 4 4 3.180145025253296 6.188442707061768 2.081655979156494
will 4 5 4 9.443121910095215 7.604183197021484 0
thinks 4 6 6 14.671914100646973 6.975026607513428 0.6291565895080566
he 4 7 2 7.384329795837402 5.709402561187744 1.2656240463256836
knows 4 8 5 7.376645565032959 7.468622207641602 0
where 4 9 5 8.544509887695312 5.461111068725586 2.0075111389160156
<unk> 4 10 5 4.960486888885498 6.204084873199463 0
announced 4 11 9 14.183515548706055 5.710902214050293 0.4931826591491699
? 4 12 1 4.762703895568848 5.8971381187438965 0
what 5 0 4 6.0709757804870605 7.742798805236816 0
did 5 1 3 8.338109970092773 4.518370151519775 3.224428653717041
they 5 2 4 6.189040184020996 5.402209758758545 0
not 5 3 3 8.441070556640625 8.185403823852539 0
like 5 4 4 9.159587860107422 6.77473783493042 1.4106659889221191
that 5 5 4 3.6441659927368164 6.481510162353516 0.2932276725769043
<unk> 5 6 5 4.818346977233887 7.257418155670166 0
wonders 5 7 7 16.255409240722656 6.49540376663208 0.7620143890380859
how 5 8 3 6.089770317077637 4.310122013092041 2.185281753540039
<unk> 5 9 5 5.175175189971924 6.184706687927246 0
was 5 10 3 5.397872447967529 6.887824058532715 0
? 5 11 1 4.398866176605225 5.40407133102417 1.483752727508545
what 6 0 4 6.0709757804870605 7.742798805236816 0
did 6 1 3 8.338109970092773 4.518370151519775 3.224428653717041
<unk> 6 2 5 5.949653625488281 5.402209758758545 0
ask 6 3 3 13.810646057128906 6.497076034545898 0
