word sentid sentpos wlen surp entropy entred
who 0 0 3 6.706007957458496 7.213894367218018 0
do 0 1 2 5.140434265136719 5.946063995361328 1.2678303718566895
n't 0 2 3 22.168251037597656 4.565002918243408 1.38106107711792
we 0 3 2 6.692520618438721 7.792672634124756 0
believe 0 4 7 5.38287878036499 4.837156295776367 2.9555163383483887
the 0 5 3 7.011061668395996 4.499657154083252 0.33749914169311523
rumour 0 6 6 14.100462913513184 7.054831027984619 0
that 0 7 4 3.3171634674072266 4.741828441619873 2.313002586364746
<unk> 0 8 5 3.6023733615875244 5.385000705718994 0
is 0 9 2 6.489788055419922 5.975076198577881 0
dating 0 10 6 15.879400253295898 6.657045364379883 0
? 0 11 1 2.144413948059082 6.382599353790283 0.2744460105895996
how 1 0 3 8.618231773376465 7.213894367218018 0
does 1 1 4 4.603298664093018 4.26262903213501 2.951265335083008
will 1 2 4 9.398967742919922 5.383727073669434 0
think 1 3 5 9.846251487731934 7.121725082397461 0
that 1 4 4 1.4688589572906494 3.961132526397705 3.160592555999756
she 1 5 3 5.743221759796143 6.236794471740723 0
is 1 6 2 6.299471378326416 6.158586502075195 0.07820796966552734
dating 1 7 6 15.9032564163208 6.964198112487793 0
someone 1 8 7 9.578193664550781 6.595977783203125 0.36822032928466797
who 1 9 3 2.2759716510772705 4.274119853973389 2.3218579292297363
solves 1 10 6 13.630661010742188 5.308093070983887 0
? 1 11 1 4.049422740936279 1.9531371593475342 3.3549559116363525
what 2 0 4 3.9642152786254883 7.213894367218018 0
does 2 1 4 5.887963771820068 1.4163711071014404 5.797523260116577
she 2 2 3 7.964986324310303 4.700468063354492 0
believe 2 3 7 5.525936603546143 6.293286323547363 0
the 2 4 3 5.873061656951904 4.919950008392334 1.3733363151550293
rumour 2 5 6 13.75006103515625 7.943921089172363 0
that 2 6 4 3.3991870880126953 5.752267837524414 2.191653251647949
she 2 7 3 5.8597798347473145 6.046855926513672 0
might 2 8 5 7.860581398010254 5.861946105957031 0.18490982055664062
have 2 9 4 4.914553642272949 7.159573554992676 0
this 2 10 4 8.138278007507324 7.914909839630127 0
year 2 11 4 12.429496765136719 6.858129024505615 1.0567808151245117
? 2 12 1 1.1095688343048096 4.777749538421631 2.0803794860839844
how 3 0 3 8.618231773376465 7.213894367218018 0
many 3 1 4 8.742753028869629 4.26262903213501 2.951265335083008
cities 3 2 6 11.540135383605957 8.467348098754883 0
does 3 3 4 9.671670913696289 7.018706798553467 1.448641300201416
he 3 4 2 11.365201950073242 2.8657915592193604 4.1529152393341064
know 3 5 4 7.665282726287842 6.391650676727295 0
brothers 3 6 8 14.958028793334961 4.210367202758789 2.181283473968506
who 3 7 3 4.2284064292907715 5.622659206390381 0
live 3 8 4 9.290234565734863 5.215588569641113 0.4070706367492676
in 3 9 2 4.406216144561768 6.77501106262207 0
? 3 10 1 1.8045536279678345 6.448751449584961 0.3262596130371094
who 4 0 3 6.706007957458496 7.213894367218018 0
do 4 1 2 5.140434265136719 5.946063995361328 1.2678303718566895
they 4 2 4 6.7027740478515625 4.565002918243408 1.38106107711792
believe 4 3 7 4.133435249328613 6.118067741394043 0
the 4 4 3 7.121119022369385 2.928471803665161 3.189595937728882
claim 4 5 5 6.286158561706543 7.714322566986084 0
that 4 6 4 2.9731342792510986 6.361894607543945 1.3524279594421387
he 4 7 2 5.44063138961792 5.935120105743408 0.4267745018005371
likes 4 8 5 10.860170364379883 5.808494567871094 0.12662553787231445
? 4 9 1 3.2817487716674805 5.6955742835998535 0.11292028427124023
what 5 0 4 3.9642152786254883 7.213894367218018 0
did 5 1 3 6.027778625488281 1.4163711071014404 5.797523260116577
she 5 2 3 7.5715460777282715 4.6439385414123535 0
hear 5 3 4 5.824711322784424 6.394519329071045 0
a 5 4 1 9.259695053100586 4.152065277099609 2.2424540519714355
rumour 5 5 6 9.546464920043945 8.530380249023438 0
that 5 6 4 2.432807683944702 5.741215229034424 2.7891650199890137
<unk> 5 7 5 2.8736419677734375 6.1393208503723145 0
sleeps 5 8 6 16.643917083740234 5.2758917808532715 0.863429069519043
